Search language,Translation language,Search text,Translation text,Tags / Comments,Search example,Translation example,Source text,Document / URL
en,ru,real,настоящий,,,,,
en,ru,young,молодой,,,,,
ru,en,закончить,finish,,,,,
ru,en,попробовать,try,,,,,
ru,en,тёплый,warm,,,,,
ru,en,с удовольствием,with pleasure,,,,,
en,ru,first,первый,,,,,
ru,en,не получится,doesn't work out,,,,,
en,ru,someone,человек,,,,,
ru,en,кастрюля,pot,,,,,
ru,en,отдел,division,,,,,
en,ru,promise,обещать,"пообещать, поклясться",I can't <em>promise</em> it was her.,"Я не могу <em>обещать</em>, что это была она.",,
en,ru,promise,обещать,,,,,
ru,en,До скорой встречи,see you soon,,,,,
en,ru,question,вопрос,,,,,
ru,en,спрашивать,ask,,,,,
ru,en,чувство,sense,,,,,
en,ru,money,деньги,,,,,
ru,en,ужасный,terrible,,,,,
ru,en,ты имеешь в виду,do you mean,,,,,
en,ru,to ask,спросить,,,,,
ru,en,счастливый,happy,,,,,
ru,en,настоящий,real,,,,,
ru,en,например,for example,"such as, e.g","За простого учителя английского, <em>например</em>.","I could have lived with a professor of Middle English, <em>for example</em>.",,
ru,en,время,time,"while, period",Пришло <em>время</em> положить конец безосновательной приверженности ядерному оружию.,The <em>time</em> had come to put an end to the groundless addiction to nuclear weapons.,,
ru,en,счастлив,happy,"lucky, happier",В моменты работы он был по-настоящему <em>счастлив</em>.,"Now at the moment when he was working, he was actuallyquite <em>happy</em>.",,
ru,en,платить,pay,"price, rent","Если потеряешь, придется <em>платить</em> штраф.","If you lost one, you'd have to <em>pay</em> a fine.",,
ru,en,смешной,funny,"ridiculous, hilarious","Джоэл <em>смешной</em>, ему нравится выступать.","Joel is <em>funny</em>, and he likes to do his comedy.",,
ru,en,вопрос,question,"issue, matter",Некоторые ораторы также затронули <em>вопрос</em> своевременного избрания председателей главных комитетов.,Several speakers also touched upon the <em>question</em> of the timely election of the chairs of the Main Committees.,,
ru,en,сильно,much,"hard, badly",Говорю. Ты слишком <em>сильно</em> замахиваешься.,"I'm telling you, you got too <em>much</em> turn in your backswing.",,
ru,en,хлеб,bread,"rye, loaf",Она готовит <em>хлеб</em> своим собственным способом.,She has a special way of making <em>bread</em>.,,
en,ru,translation,перевод,"язык, трансляция",The workshop had greatly benefitted from simultaneous <em>translation</em> between Russian and English.,"Весьма полезным моментом было то, что на семинаре обеспечивался синхронный <em>перевод</em> с русского языка на английский и наоборот.",,
ru,en,жизнь,life,"living, lifetime",Тематический раздел этого доклада Специальный докладчик посвятил защите права на <em>жизнь</em> журналистов.,"In the thematic section of that report, the Special Rapporteur focused on the protection of the right to <em>life</em> of journalists.",,
ru,en,обозначать,designate,"indicate, mark",Международная китобойная комиссия может устанавливать «открытые и закрытые воды» и <em>обозначать</em> заповедные районы.,"The International Whaling Commission can establish ""open and closed waters"" and <em>designate</em> sanctuary areas.",,
ru,en,овощ,vegetable,"veg, greens","Животное, <em>овощ</em>, минерал, всё, что угодно.","Animal, <em>vegetable</em>, mineral, anything.",,
en,ru,small,малый,,,,,
en,ru,slow,медленный,,,,,
en,ru,clothes,одежда,,,,,
ru,en,первый,the first,"first, initial",Я принесла <em>первый</em> балл женской команде.,I got <em>the first</em> point today for the girls' team.,,
ru,en,овощ,vegetable,,,,,
en,ru,if,если,,,,,
ru,en,Язык сломаешь,elektroscirrha,,"Паразиты, поражающие монархов, называются ophryocystis elektroscirrha - <em>язык сломаешь</em>.","Now, the parasites that monarchs get infected with are called ophryocystis <em>elektroscirrha</em> - a mouthful.",,
en,ru,early,ранний,,,,,
en,ru,before,раньше,,,,,
en,ru,ear,ухо,,,,,
en,ru,to watch,смотреть,,,,,
en,ru,ready,готовый,,,,,
en,ru,egg,яйцо,,,,,
ru,en,поезд,train,,Это государственный <em>поезд</em> Лучше задержать 22-й.,That's a government <em>train</em>. It's better hold off the 22.,,
en,ru,run,бежать,,,,,
